category,schema_name,object_name,detail_name,technical_type,nullable,definition
COLUMN,audit,action_log,id,uuid,NO,gen_random_uuid()
COLUMN,audit,action_log,order_id,uuid,YES,
COLUMN,audit,action_log,proposed_action,text,NO,
COLUMN,audit,action_log,authorization_status,text,NO,
COLUMN,audit,action_log,actions_executed,integer,NO,0
COLUMN,audit,action_log,run_mode,text,NO,'SIMULATION'::text
COLUMN,audit,action_log,created_at,timestamp with time zone,NO,now()
COLUMN,audit,application_events,id,uuid,NO,gen_random_uuid()
COLUMN,audit,application_events,service,text,NO,
COLUMN,audit,application_events,level,text,NO,
COLUMN,audit,application_events,event_name,text,NO,
COLUMN,audit,application_events,correlation_id,uuid,YES,
COLUMN,audit,application_events,payload_masked,jsonb,NO,'{}'::jsonb
COLUMN,audit,application_events,created_at,timestamp with time zone,NO,now()
COLUMN,audit,data_access_log,id,uuid,NO,gen_random_uuid()
COLUMN,audit,data_access_log,principal_hash,text,NO,
COLUMN,audit,data_access_log,resource_type,text,NO,
COLUMN,audit,data_access_log,resource_id_hash,text,YES,
COLUMN,audit,data_access_log,purpose,text,NO,
COLUMN,audit,data_access_log,created_at,timestamp with time zone,NO,now()
COLUMN,audit,masking_log,id,uuid,NO,gen_random_uuid()
COLUMN,audit,masking_log,source_record_id_hash,text,NO,
COLUMN,audit,masking_log,masking_version,text,NO,
COLUMN,audit,masking_log,fields_redacted,ARRAY,NO,'{}'::text[]
COLUMN,audit,masking_log,pii_scan_result,text,NO,
COLUMN,audit,masking_log,created_at,timestamp with time zone,NO,now()
COLUMN,audit,security_events,id,uuid,NO,gen_random_uuid()
COLUMN,audit,security_events,service,text,NO,
COLUMN,audit,security_events,severity,text,NO,
COLUMN,audit,security_events,event_type,text,NO,
COLUMN,audit,security_events,payload_masked,jsonb,NO,'{}'::jsonb
COLUMN,audit,security_events,created_at,timestamp with time zone,NO,now()
COLUMN,audit,sync_runs,id,uuid,NO,gen_random_uuid()
COLUMN,audit,sync_runs,source,text,NO,
COLUMN,audit,sync_runs,status,text,NO,
COLUMN,audit,sync_runs,counts,jsonb,NO,'{}'::jsonb
COLUMN,audit,sync_runs,checksum,text,YES,
COLUMN,audit,sync_runs,started_at,timestamp with time zone,NO,
COLUMN,audit,sync_runs,completed_at,timestamp with time zone,YES,
COLUMN,configuration,feature_flags,flag_name,text,NO,
COLUMN,configuration,feature_flags,enabled,boolean,NO,false
COLUMN,configuration,feature_flags,environment,text,NO,'staging'::text
COLUMN,configuration,feature_flags,reason,text,NO,
COLUMN,configuration,feature_flags,updated_at,timestamp with time zone,NO,now()
COLUMN,configuration,freshness_thresholds,source,text,NO,
COLUMN,configuration,freshness_thresholds,warning_seconds,bigint,NO,
COLUMN,configuration,freshness_thresholds,stale_seconds,bigint,NO,
COLUMN,configuration,freshness_thresholds,policy_version,text,NO,
COLUMN,configuration,policies,id,uuid,NO,gen_random_uuid()
COLUMN,configuration,policies,policy_name,text,NO,
COLUMN,configuration,policies,description,text,NO,
COLUMN,configuration,policies,owner,text,YES,
COLUMN,configuration,policies,created_at,timestamp with time zone,NO,now()
COLUMN,configuration,policy_assignments,id,uuid,NO,gen_random_uuid()
COLUMN,configuration,policy_assignments,policy_id,uuid,NO,
COLUMN,configuration,policy_assignments,version_id,uuid,NO,
COLUMN,configuration,policy_assignments,workflow,text,NO,
COLUMN,configuration,policy_assignments,status,text,NO,'DRAFT'::text
COLUMN,configuration,policy_assignments,assigned_at,timestamp with time zone,NO,now()
COLUMN,configuration,policy_versions,id,uuid,NO,gen_random_uuid()
COLUMN,configuration,policy_versions,policy_name,text,NO,
COLUMN,configuration,policy_versions,version,text,NO,
COLUMN,configuration,policy_versions,policy_document,jsonb,NO,
COLUMN,configuration,policy_versions,checksum,text,NO,
COLUMN,configuration,policy_versions,status,text,NO,'DRAFT'::text
COLUMN,configuration,policy_versions,effective_from,timestamp with time zone,YES,
COLUMN,configuration,policy_versions,effective_until,timestamp with time zone,YES,
COLUMN,configuration,policy_versions,created_at,timestamp with time zone,NO,now()
COLUMN,configuration,system_settings,setting_name,text,NO,
COLUMN,configuration,system_settings,setting_value,jsonb,NO,
COLUMN,configuration,system_settings,environment,text,NO,'staging'::text
COLUMN,configuration,system_settings,updated_at,timestamp with time zone,NO,now()
COLUMN,core,conversations,id,uuid,NO,gen_random_uuid()
COLUMN,core,conversations,order_id,uuid,YES,
COLUMN,core,conversations,source,text,NO,
COLUMN,core,conversations,external_conversation_id_hash,text,NO,
COLUMN,core,conversations,opened_at,timestamp with time zone,YES,
COLUMN,core,conversations,last_message_at,timestamp with time zone,YES,
COLUMN,core,conversations,created_at,timestamp with time zone,NO,now()
COLUMN,core,customer_aliases,id,uuid,NO,gen_random_uuid()
COLUMN,core,customer_aliases,customer_id,uuid,NO,
COLUMN,core,customer_aliases,source,text,NO,
COLUMN,core,customer_aliases,alias_hash,text,NO,
COLUMN,core,customer_aliases,alias_type,text,NO,
COLUMN,core,customer_aliases,confidence,numeric,NO,
COLUMN,core,customer_aliases,created_at,timestamp with time zone,NO,now()
COLUMN,core,customers_masked,id,uuid,NO,gen_random_uuid()
COLUMN,core,customers_masked,external_reference_hash,text,NO,
